,nmin,minleaf,ntrees,nfeats,avg_accuracy
0,2,1,10,1,0.6417894736842105
1,2,1,10,2,0.6951929824561404
2,2,1,10,3,0.7003508771929824
3,2,1,10,4,0.6818245614035088
4,2,1,10,5,0.6974035087719297
5,2,1,10,6,0.6842456140350877
6,2,1,10,7,0.6924210526315789
7,2,1,10,8,0.6925263157894737
8,2,1,10,9,0.6844210526315789
9,2,1,10,10,0.7056842105263158
10,2,1,20,1,0.697719298245614
11,2,1,20,2,0.7003157894736842
12,2,1,20,3,0.7268070175438596
13,2,1,20,4,0.7056491228070175
14,2,1,20,5,0.7082807017543861
15,2,1,20,6,0.7295087719298244
16,2,1,20,7,0.6974736842105264
17,2,1,20,8,0.7109122807017544
18,2,1,20,9,0.7348070175438597
19,2,1,20,10,0.7243508771929825
20,2,1,30,1,0.7057543859649122
21,2,1,30,2,0.6869824561403509
22,2,1,30,3,0.6896140350877193
23,2,1,30,4,0.7002105263157895
24,2,1,30,5,0.7083157894736842
25,2,1,30,6,0.6816842105263158
26,2,1,30,7,0.7082807017543861
27,2,1,30,8,0.7374385964912281
28,2,1,30,9,0.7373333333333334
29,2,1,30,10,0.7266666666666668
30,2,1,40,1,0.6844210526315788
31,2,1,40,2,0.7030526315789474
32,2,1,40,3,0.732280701754386
33,2,1,40,4,0.7109473684210526
34,2,1,40,5,0.7055789473684211
35,2,1,40,6,0.7029473684210527
36,2,1,40,7,0.7480350877192983
37,2,1,40,8,0.6949473684210528
38,2,1,40,9,0.732140350877193
39,2,1,40,10,0.7082105263157896
40,2,1,50,1,0.7031228070175439
41,2,1,50,2,0.7268771929824561
42,2,1,50,3,0.724140350877193
43,2,1,50,4,0.7242105263157896
44,2,1,50,5,0.7110877192982457
45,2,1,50,6,0.7241754385964911
46,2,1,50,7,0.7188771929824561
47,2,1,50,8,0.7029824561403508
48,2,1,50,9,0.7321754385964911
49,2,1,50,10,0.7374736842105263
50,2,1,100,1,0.7138245614035088
51,2,1,100,2,0.7163157894736842
52,2,1,100,3,0.7296491228070175
53,2,1,100,4,0.7162105263157895
54,2,1,100,5,0.7269473684210526
55,2,1,100,6,0.7135789473684211
56,2,1,100,7,0.7401754385964912
57,2,1,100,8,0.713578947368421
